candidate_id,rank,score,reasoning
CAND_0064326,11,0.801919,"Search Engineer with 7.6 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Strong JD fit (Tier-1 India city; response rate 94%)."
CAND_0068811,12,0.799966,"Applied ML Engineer with 8.0 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Strong JD fit (in a preferred hub (Pune/Noida); response rate 42%)."
CAND_0007009,13,0.798822,"Recommendation Systems Engineer with 7.9 yrs, with documented embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Strong JD fit (in a preferred hub (Pune/Noida); response rate 62%)."
CAND_0091534,14,0.798173,"AI Engineer with 16.6 yrs, with documented embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Strong JD fit (Tier-1 India city; response rate 84%)."
CAND_0043228,15,0.795719,"Applied ML Engineer with 6.8 yrs, with documented embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Strong JD fit (Tier-1 India city; response rate 41%)."
CAND_0088025,16,0.783017,"Staff Machine Learning Engineer with 8.6 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Strong fit overall, though 90-day notice period; in India, relocation unclear."
CAND_0062247,17,0.765293,"AI Engineer with 7.3 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Strong JD fit (in India, willing to relocate; response rate 78%)."
CAND_0071974,18,0.764341,"Senior AI Engineer with 7.8 yrs, with documented embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Strong JD fit (in India, relocation unclear; response rate 76%)."
CAND_0008425,19,0.7587,"Senior NLP Engineer with 7.8 yrs, with documented embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Strong fit overall, though 90-day notice period; Tier-1 India city."
CAND_0079387,20,0.753751,"AI Engineer with 6.9 yrs, with documented embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Strong JD fit (in India, relocation unclear; response rate 81%)."
CAND_0055905,21,0.751975,"Senior Machine Learning Engineer with 8.1 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Solid match on the JD's retrieval/ranking core; outside India (case-by-case per JD)."
CAND_0080766,22,0.742642,"Staff Machine Learning Engineer with 8.8 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Solid match on the JD's retrieval/ranking core; in India, willing to relocate."
CAND_0041669,23,0.72682,"Recommendation Systems Engineer with 8.0 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Solid match on the JD's retrieval/ranking core; in a preferred hub (Pune/Noida)."
CAND_0083879,24,0.718904,"Machine Learning Engineer with 7.1 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Solid match on the JD's retrieval/ranking core; in a preferred hub (Pune/Noida)."
CAND_0005649,25,0.705426,"Senior Data Scientist with 7.4 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Solid match on the JD's retrieval/ranking core; Tier-1 India city, but 90-day notice period."
CAND_0039383,26,0.704268,"Applied ML Engineer with 7.1 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Solid match on the JD's retrieval/ranking core; Tier-1 India city, but 90-day notice period."
CAND_0075249,27,0.702352,"Applied ML Engineer with 6.2 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Solid match on the JD's retrieval/ranking core; in India, relocation unclear."
CAND_0083307,28,0.697819,"Search Engineer with 7.8 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Solid match on the JD's retrieval/ranking core; in India, relocation unclear, but 120-day notice period."
CAND_0070398,29,0.697805,"Machine Learning Engineer with 7.2 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Solid match on the JD's retrieval/ranking core; in India, willing to relocate, but 120-day notice period."
CAND_0069905,30,0.695311,"Applied ML Engineer with 6.6 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Solid match on the JD's retrieval/ranking core; in India, willing to relocate, but 90-day notice period."
CAND_0028793,31,0.691131,"Search Engineer with 7.2 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Solid match on the JD's retrieval/ranking core; in India, willing to relocate, but 120-day notice period."
CAND_0061265,32,0.688972,"Recommendation Systems Engineer with 6.6 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Solid match on the JD's retrieval/ranking core; Tier-1 India city, but 120-day notice period."
CAND_0027801,33,0.677616,"NLP Engineer with 7.4 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Solid match on the JD's retrieval/ranking core; Tier-1 India city, but 120-day notice period."
CAND_0011432,34,0.671686,"Senior Data Scientist with 7.6 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Solid match on the JD's retrieval/ranking core; Tier-1 India city."
CAND_0086151,35,0.670243,"Recommendation Systems Engineer with 7.7 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Solid match on the JD's retrieval/ranking core; in India, willing to relocate, but 120-day notice period."
CAND_0049896,36,0.665691,"Search Engineer with 7.3 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Solid match on the JD's retrieval/ranking core; in India, willing to relocate, but 90-day notice period."
CAND_0076251,37,0.664289,"Search Engineer with 7.6 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Solid match on the JD's retrieval/ranking core; in India, willing to relocate."
CAND_0018549,38,0.660048,"Recommendation Systems Engineer with 6.8 yrs — demonstrated embeddings/retrieval work, shipped ranking/recommendation systems and ranking-evaluation rigor (NDCG/MRR/A-B style) in past roles. Solid match on the JD's retrieval/ranking core; in India, willing to relocate."
CAND_0045250,39,0.659906,"Applied ML Engineer with 6.6 yrs, with documented embeddings/retrieval work, shipped ranking/recommendation systems and ranking-evaluation rigor (NDCG/MRR/A-B style). Solid match on the JD's retrieval/ranking core; Tier-1 India city."
CAND_0010257,40,0.655774,"Senior Data Scientist with 6.5 yrs — demonstrated embeddings/retrieval work, shipped ranking/recommendation systems and ranking-evaluation rigor (NDCG/MRR/A-B style) in past roles. Solid match on the JD's retrieval/ranking core; in a preferred hub (Pune/Noida), but 120-day notice period."
CAND_0016163,41,0.653026,"Applied ML Engineer with 6.7 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Solid match on the JD's retrieval/ranking core; Tier-1 India city, but 120-day notice period."
CAND_0098846,42,0.649002,"AI Engineer with 7.6 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Solid match on the JD's retrieval/ranking core; in India, willing to relocate."
CAND_0081852,43,0.645723,"Senior Data Scientist with 5.9 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Solid match on the JD's retrieval/ranking core; Tier-1 India city."
CAND_0006567,44,0.643456,"Senior AI Engineer with 7.9 yrs — demonstrated embeddings/retrieval work, shipped ranking/recommendation systems and ranking-evaluation rigor (NDCG/MRR/A-B style) in past roles. Solid match on the JD's retrieval/ranking core; in a preferred hub (Pune/Noida)."
CAND_0037566,45,0.638958,"Machine Learning Engineer with 6.9 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Solid match on the JD's retrieval/ranking core; Tier-1 India city."
CAND_0014440,46,0.637503,"Recommendation Systems Engineer with 6.4 yrs, with documented embeddings/retrieval work, shipped ranking/recommendation systems and ranking-evaluation rigor (NDCG/MRR/A-B style). Solid match on the JD's retrieval/ranking core; Tier-1 India city."
CAND_0031593,47,0.630474,"Search Engineer with 7.8 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Solid match on the JD's retrieval/ranking core; Tier-1 India city, but 90-day notice period."
CAND_0070485,48,0.629753,"Search Engineer with 6.4 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Solid match on the JD's retrieval/ranking core; in India, relocation unclear, but 120-day notice period."
CAND_0010770,49,0.627083,"Recommendation Systems Engineer with 15.2 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Solid match on the JD's retrieval/ranking core; Tier-1 India city, but frequent short stints."
CAND_0053591,50,0.625528,"AI Engineer with 5.3 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Solid match on the JD's retrieval/ranking core; outside India (case-by-case per JD)."
CAND_0093331,51,0.619539,"NLP Engineer with 16.1 yrs, with documented embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Solid match on the JD's retrieval/ranking core; in India, willing to relocate."
CAND_0065878,52,0.590184,"Senior Data Scientist with 7.8 yrs, with documented embeddings/retrieval work, shipped ranking/recommendation systems and ranking-evaluation rigor (NDCG/MRR/A-B style). Solid match on the JD's retrieval/ranking core; in India, relocation unclear."
CAND_0030953,53,0.58853,"Search Engineer with 7.8 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Solid match on the JD's retrieval/ranking core; Tier-1 India city, but frequent short stints."
CAND_0037980,54,0.579103,"Senior Applied Scientist with 9.0 yrs — demonstrated embeddings/retrieval work, shipped ranking/recommendation systems and ranking-evaluation rigor (NDCG/MRR/A-B style) in past roles. Solid match on the JD's retrieval/ranking core; Tier-1 India city."
CAND_0095528,55,0.570753,"Senior Data Scientist with 5.3 yrs; career history evidences embeddings/retrieval work, shipped ranking/recommendation systems and ranking-evaluation rigor (NDCG/MRR/A-B style). Solid match on the JD's retrieval/ranking core; in India, relocation unclear."
CAND_0006557,56,0.568519,"NLP Engineer with 7.9 yrs; career history evidences embeddings/retrieval work, shipped ranking/recommendation systems and ranking-evaluation rigor (NDCG/MRR/A-B style). Solid match on the JD's retrieval/ranking core; in India, willing to relocate, but 120-day notice period."
CAND_0070202,57,0.566111,"Machine Learning Engineer with 5.1 yrs; career history evidences embeddings/retrieval work, shipped ranking/recommendation systems and ranking-evaluation rigor (NDCG/MRR/A-B style). Solid match on the JD's retrieval/ranking core; in India, relocation unclear, but 90-day notice period."
CAND_0052335,58,0.565019,"Applied ML Engineer with 6.4 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Solid match on the JD's retrieval/ranking core; outside India (case-by-case per JD)."
CAND_0099401,59,0.562389,"NLP Engineer with 7.7 yrs; career history evidences embeddings/retrieval work, shipped ranking/recommendation systems and ranking-evaluation rigor (NDCG/MRR/A-B style). Solid match on the JD's retrieval/ranking core; in India, willing to relocate, but 90-day notice period."
CAND_0018722,60,0.551267,"Recommendation Systems Engineer with 6.6 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Solid match on the JD's retrieval/ranking core; outside India (case-by-case per JD), but 90-day notice period."
CAND_0087630,61,0.550534,"AI Engineer with 7.2 yrs — demonstrated embeddings/retrieval work, shipped ranking/recommendation systems and ranking-evaluation rigor (NDCG/MRR/A-B style) in past roles. Included toward the cutoff: Tier-1 India city; weaker depth than higher ranks."
CAND_0055992,62,0.550041,"AI Engineer with 16.9 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Included toward the cutoff: outside India (case-by-case per JD); weaker depth than higher ranks."
CAND_0033861,63,0.542856,"Senior NLP Engineer with 8.0 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Included toward the cutoff: in India, relocation unclear; concerns — inactive ~115d on platform and low recruiter response rate (16%)."
CAND_0007412,64,0.515185,"Applied ML Engineer with 7.4 yrs; career history evidences embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Included toward the cutoff: in a preferred hub (Pune/Noida); concerns — 120-day notice period and frequent short stints."
CAND_0015528,65,0.512603,"Applied ML Engineer with 7.4 yrs — demonstrated embeddings/retrieval work, shipped ranking/recommendation systems and ranking-evaluation rigor (NDCG/MRR/A-B style) in past roles. Included toward the cutoff: in India, relocation unclear; weaker depth than higher ranks."
CAND_0013536,66,0.500955,"Applied ML Engineer with 14.1 yrs — demonstrated embeddings/retrieval work, shipped ranking/recommendation systems and ranking-evaluation rigor (NDCG/MRR/A-B style) in past roles. Included toward the cutoff: in India, relocation unclear; concerns — 90-day notice period."
CAND_0072660,67,0.496092,"Machine Learning Engineer with 7.1 yrs — demonstrated embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems in past roles. Included toward the cutoff: outside India (case-by-case per JD); weaker depth than higher ranks."
CAND_0076163,68,0.480093,"NLP Engineer with 6.9 yrs; career history evidences shipped ranking/recommendation systems and ranking-evaluation rigor (NDCG/MRR/A-B style). Included toward the cutoff: in India, relocation unclear; weaker depth than higher ranks."
CAND_0061257,69,0.477427,Staff Machine Learning Engineer with 8.0 yrs — demonstrated embeddings/retrieval work and ranking-evaluation rigor (NDCG/MRR/A-B style) in past roles. Included toward the cutoff: in a preferred hub (Pune/Noida); weaker depth than higher ranks.
CAND_0094759,70,0.465371,"Lead AI Engineer with 8.6 yrs, with documented embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Included toward the cutoff: Tier-1 India city; concerns — inactive ~154d on platform and low recruiter response rate (11%)."
CAND_0053605,71,0.429731,"Senior Software Engineer (ML) with 6.9 yrs, with documented shipped ranking/recommendation systems and LLM/fine-tuning exposure. Included toward the cutoff: in a preferred hub (Pune/Noida); weaker depth than higher ranks."
CAND_0048558,72,0.428626,Data Scientist with 6.7 yrs — demonstrated shipped ranking/recommendation systems in past roles. Included toward the cutoff: in a preferred hub (Pune/Noida); weaker depth than higher ranks.
CAND_0093193,73,0.425052,"Senior Machine Learning Engineer with 7.9 yrs, with documented embeddings/retrieval work and ranking-evaluation rigor (NDCG/MRR/A-B style). Included toward the cutoff: Tier-1 India city; weaker depth than higher ranks."
CAND_0067866,74,0.42454,Senior Software Engineer (ML) with 6.4 yrs — demonstrated shipped ranking/recommendation systems and LLM/fine-tuning exposure in past roles. Included toward the cutoff: in a preferred hub (Pune/Noida); weaker depth than higher ranks.
CAND_0005509,75,0.422852,"Data Scientist with 6.0 yrs, with documented shipped ranking/recommendation systems and LLM/fine-tuning exposure. Included toward the cutoff: in a preferred hub (Pune/Noida); weaker depth than higher ranks."
CAND_0092278,76,0.419535,"Senior NLP Engineer with 6.8 yrs, with documented embeddings/retrieval work, vector/hybrid search infrastructure and shipped ranking/recommendation systems. Included toward the cutoff: in a preferred hub (Pune/Noida); concerns — inactive ~216d on platform and low recruiter response rate (7%)."
CAND_0069638,77,0.416584,Computer Vision Engineer with 6.2 yrs; career history evidences shipped ranking/recommendation systems and LLM/fine-tuning exposure. Included toward the cutoff: Tier-1 India city; weaker depth than higher ranks.
CAND_0068932,78,0.416402,"ML Engineer with 5.2 yrs, with documented shipped ranking/recommendation systems. Included toward the cutoff: in a preferred hub (Pune/Noida); weaker depth than higher ranks."
CAND_0052195,79,0.415987,"Computer Vision Engineer with 6.3 yrs, with documented shipped ranking/recommendation systems and LLM/fine-tuning exposure. Included toward the cutoff: Tier-1 India city; weaker depth than higher ranks."
CAND_0095619,80,0.408973,NLP Engineer with 15.6 yrs — demonstrated shipped ranking/recommendation systems and ranking-evaluation rigor (NDCG/MRR/A-B style) in past roles. Included toward the cutoff: Tier-1 India city; weaker depth than higher ranks.
CAND_0004402,81,0.407379,"AI Research Engineer with 6.0 yrs, with documented shipped ranking/recommendation systems and LLM/fine-tuning exposure. Included toward the cutoff: Tier-1 India city; weaker depth than higher ranks."
CAND_0096104,82,0.404266,AI Specialist with 7.0 yrs; career history evidences shipped ranking/recommendation systems. Included toward the cutoff: Tier-1 India city; weaker depth than higher ranks.
CAND_0043860,83,0.403955,"Junior ML Engineer with 6.1 yrs — demonstrated shipped ranking/recommendation systems and LLM/fine-tuning exposure in past roles. Included toward the cutoff: in India, willing to relocate; weaker depth than higher ranks."
CAND_0092255,84,0.401854,ML Engineer with 5.2 yrs; career history evidences shipped ranking/recommendation systems and LLM/fine-tuning exposure. Included toward the cutoff: in a preferred hub (Pune/Noida); weaker depth than higher ranks.
CAND_0073007,85,0.400474,AI Specialist with 5.8 yrs; career history evidences shipped ranking/recommendation systems and LLM/fine-tuning exposure. Included toward the cutoff: Tier-1 India city; weaker depth than higher ranks.
CAND_0033179,86,0.399981,"AI Research Engineer with 6.9 yrs; career history evidences shipped ranking/recommendation systems and LLM/fine-tuning exposure. Included toward the cutoff: in India, willing to relocate; weaker depth than higher ranks."
CAND_0025882,87,0.396784,"Senior Software Engineer (ML) with 5.6 yrs, with documented shipped ranking/recommendation systems and LLM/fine-tuning exposure. Included toward the cutoff: Tier-1 India city; weaker depth than higher ranks."
CAND_0070525,88,0.394086,"Senior Software Engineer (ML) with 5.4 yrs, with documented shipped ranking/recommendation systems and LLM/fine-tuning exposure. Included toward the cutoff: Tier-1 India city; weaker depth than higher ranks."
CAND_0091745,89,0.390972,Junior ML Engineer with 5.9 yrs; career history evidences shipped ranking/recommendation systems. Included toward the cutoff: in a preferred hub (Pune/Noida); weaker depth than higher ranks.
CAND_0037160,90,0.390281,Data Scientist with 6.0 yrs; career history evidences shipped ranking/recommendation systems and LLM/fine-tuning exposure. Included toward the cutoff: Tier-1 India city; weaker depth than higher ranks.
CAND_0046132,91,0.383579,"AI Research Engineer with 4.3 yrs, with documented shipped ranking/recommendation systems. Included toward the cutoff: in a preferred hub (Pune/Noida); weaker depth than higher ranks."
CAND_0066035,92,0.381703,Data Scientist with 6.7 yrs; career history evidences shipped ranking/recommendation systems. Included toward the cutoff: Tier-1 India city; weaker depth than higher ranks.
CAND_0010149,93,0.380876,ML Engineer with 6.9 yrs — demonstrated shipped ranking/recommendation systems and LLM/fine-tuning exposure in past roles. Included toward the cutoff: Tier-1 India city; concerns — 90-day notice period.
CAND_0047327,94,0.380248,Junior ML Engineer with 5.0 yrs; career history evidences shipped ranking/recommendation systems and LLM/fine-tuning exposure. Included toward the cutoff: Tier-1 India city; weaker depth than higher ranks.
CAND_0032271,95,0.380167,AI Research Engineer with 6.6 yrs — demonstrated shipped ranking/recommendation systems and LLM/fine-tuning exposure in past roles. Included toward the cutoff: Tier-1 India city; concerns — 120-day notice period.
CAND_0068012,96,0.377977,Junior ML Engineer with 5.7 yrs; career history evidences shipped ranking/recommendation systems. Included toward the cutoff: in a preferred hub (Pune/Noida); concerns — 120-day notice period.
CAND_0026716,97,0.375548,"Computer Vision Engineer with 5.6 yrs, with documented shipped ranking/recommendation systems and LLM/fine-tuning exposure. Included toward the cutoff: in India, willing to relocate; weaker depth than higher ranks."
CAND_0017178,98,0.375238,ML Engineer with 4.2 yrs — demonstrated shipped ranking/recommendation systems and LLM/fine-tuning exposure in past roles. Included toward the cutoff: Tier-1 India city; weaker depth than higher ranks.
CAND_0067535,99,0.374668,"Junior ML Engineer with 6.8 yrs; career history evidences shipped ranking/recommendation systems and LLM/fine-tuning exposure. Included toward the cutoff: in India, relocation unclear; weaker depth than higher ranks."
CAND_0097176,100,0.373852,ML Engineer with 5.9 yrs — demonstrated shipped ranking/recommendation systems and LLM/fine-tuning exposure in past roles. Included toward the cutoff: Tier-1 India city; weaker depth than higher ranks.
